Name,R^2,Error
pKa_basic_test,-4.105237314015834,0
nRing_test,-0.5868214960842577,18
LogP_test,-0.8877322391717999,0
nHD_test,-0.3042209358417769,16
pKa_acidic_test,-15.910660424350187,0
nRot_test,-0.4503322976392956,16
nHet_test,-1.0272706269694858,18
nHA_test,-2.7340845193056755,16
Molecular_Weight_test,-1.271160459962812e+169,19
Density_test,-66856.38473820154,18
Flexibility_test,-49.256534426483086,18
nRig_test,-7.020770680027219e+217,18
TPSA_test,-1.3933529109216387,18
MaxRing_test,-5.458236989452417e+218,18
Melting_point_test,-4.9182843889246675,0
LogD7_4_test,-1.6994874996931424,0
Boiling_point_test,-20.723439026742703,0
Volume_test,-1.43103494453827e+97,20
fChar_test,-8.24897108050266,16
LogS_test,-5.610403043464003,0
Stereo_Centers_test,-0.23016853520721225,20
